Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,72.5064867962593,72.4552454206011,73.4352123165382,73.5613351295091,75.2198668950529,76.8751175452218,75.3850508531993,75.1058807456433,74.2643491781203,73.9430353149605,72.9912523379519
Australia,AUS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,27.4935132037407,27.5447545793989,26.5647876834618,26.4386648704909,24.7801331049471,23.1248824547782,24.6149491468007,24.8941192543567,25.7356508218797,26.0569646850395,27.0087476620481
Australia,AUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,80.6807630349325,58.5187759588474,49.9512071766866,47.9018736572453,55.5299293343916,65.8322066670933,63.5151918805946,54.1378387910517,59.815241374195,92.1663581918968,..
Australia,AUS,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,15.5208628454752,16.8100108856613,16.7605112819037,15.9546985760638,16.7125572795241,18.9214488412423,17.997174320384,18.0884683641609,18.5147119014052,19.0392074396,20.0528957636826
Brazil,BRA,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,78.9431086957217,79.9419700940442,80.6077290781656,82.1131094127258,83.7416172305654,84.6307770290532,84.6562110394703,84.5111627535768,85.1276286697313,83.2791539223431,79.6328661728807
Brazil,BRA,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,21.0568913042783,20.0580299059559,19.3922709218344,17.8868905872742,16.2583827694346,15.3692229709468,15.3437889605297,15.4888372464232,14.8723713302687,16.7208460776569,20.3671338271193
Brazil,BRA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,31.5316211791756,33.7347708387864,29.9123449693159,26.2280086004285,23.3034582936999,31.2459149922376,31.1363196865386,40.1263762566394,55.4493033759648,93.055293746432,..
Brazil,BRA,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,22.9490898052669,21.6930983499164,22.1335299403673,19.8873793337694,18.4225160247978,16.3276508920179,18.3920551178738,17.4741997487876,17.1481517134184,13.5937744709019,13.5937744714441
China,CHN,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,50.1592932814337,51.1426133010245,51.7171470080408,52.5249430110843,53.9908904277606,55.0387375120357,54.8676084332767,55.057688861952,56.0185730424807,55.330445774732,53.9217036541038
China,CHN,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,49.8407067185663,48.8573866989755,48.2828529919592,47.4750569889157,46.0091095722394,44.9612624879643,45.1323915667233,44.942311138048,43.9814269575193,44.669554225268,46.0782963458962
China,CHN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,88.3790584342316,58.9204164595924,80.4138158932711,114.16339553583,355.519219065579,162.864309406559,139.907738522409,94.0678583180482,127.785325030813,215.013657849398,..
China,CHN,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,24.5269352900609,24.526935289441,24.5269352900843,24.526935289998,24.5269352894797,24.5269352893028,24.5269352895611,24.5269352893228,24.5269352894151,24.5269352902764,..
Germany,DEU,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,73.4566150373483,74.18382623456,74.1877745567076,73.0112761022467,72.6618046514087,72.6556907430919,71.9488485412407,71.9825580531578,72.1934826473543,72.2241188343376,71.3854787211986
Germany,DEU,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,26.5433849626517,25.81617376544,25.8122254432924,26.9887238977533,27.3381953485913,27.3443092569081,28.0511514587593,28.0174419468422,27.8065173526457,27.7758811656624,28.6145212788014
Germany,DEU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,41.9704483020527,35.4378984095203,35.1548070453696,32.6314331735008,43.0253524630488,32.3965210294274,42.228739089915,40.6635515525066,34.7201836123586,46.6619393400719,..
Germany,DEU,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,41.3260749233231,41.8857728801699,42.1420047232626,43.3849465398212,44.1345898421837,44.4831086742702,44.4936144825778,43.6241321720717,43.9955497627785,41.239361213838,41.2393814946154
India,IND,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,67.2916801696643,67.1448100073149,67.9409262306565,68.5685739069175,69.4355717862657,69.6038293069207,69.4923486315652,70.1115413367221,71.9139631499586,72.8842695045324,72.3006615500774
India,IND,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,32.7083198303357,32.8551899926851,32.0590737693435,31.4314260930825,30.5644282137344,30.3961706930793,30.5076513684348,29.8884586632779,28.0860368500413,27.1157304954676,27.6993384499226
India,IND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,40.6275403390484,34.8777811042789,30.752791302865,37.3412277779137,38.1343261769465,35.2251250426323,45.4391814569593,47.9372900538517,45.337552129003,72.8148107547284,..
India,IND,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,18.5354430901101,19.6451162000649,17.1875972602646,18.926638718956,19.8357915514764,19.4178572346925,19.6445398115139,21.288815234024,20.735675159215,20.7356757581845,20.7356757575337
Mexico,MEX,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,81.2307428659724,80.6116746758824,82.4606115277378,82.5623001171353,81.0505002812535,80.5042558619915,79.4513680552763,78.6473077197402,78.7243785789154,78.3316333449216,79.637250482621
Mexico,MEX,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,18.7692571340276,19.3883253241176,17.5393884722623,17.4376998828647,18.9494997187465,19.4957441380085,20.5486319447237,21.3526922802598,21.2756214210846,21.6683666550784,20.362749517379
Mexico,MEX,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,8.11945869567191,9.53594103280727,12.3314287238212,9.38326609379611,8.54319069065098,10.0604298330136,9.16007377408709,7.46609945043537,6.48956942263472,7.37911892797527,..
Mexico,MEX,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,23.0635521616672,25.2085305249935,26.5800607066361,28.5441823363979,29.6005391561573,31.3716095759405,32.8903502655492,33.622815419378,34.5360709940136,34.1865012041245,31.0058318555279
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,
